,Content ID,Reaction Type,Datetime,Sentiment,Score,Content Type,Category
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,Disgust,2020-11-07 09:43:50,Negative,0,Photo,Studying
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,Dislike,2021-06-17 12:22:51,Negative,10,Photo,Studying
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,Scared,2021-04-18 05:13:58,Negative,15,Photo,Studying
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,Disgust,2021-01-06 19:13:01,Negative,0,Photo,Studying
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2020-08-23 12:25:58,Positive,30,Photo,Studying
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,Peeking,2020-12-07 06:27:54,Neutral,35,Photo,Studying
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,Cherish,2021-04-11 17:35:49,Positive,70,Photo,Studying
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2021-01-27 08:32:09,Negative,5,Photo,Studying
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,Peeking,2021-04-01 22:54:23,Neutral,35,Photo,Studying
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,Indifferent,2020-11-07 08:36:27,Neutral,20,Photo,Studying
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,Scared,2020-11-02 06:28:53,Negative,15,Photo,Studying
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2020-11-01 01:16:21,Positive,30,Photo,Studying
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2020-10-07 18:39:08,Negative,5,Photo,Studying
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,Scared,2020-09-03 18:51:38,Negative,15,Photo,Studying
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,Super Love,2021-02-24 05:09:23,Positive,75,Photo,Studying
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,Peeking,2020-09-23 06:24:11,Neutral,35,Photo,Studying
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,Indifferent,2021-02-24 11:37:57,Neutral,20,Photo,Studying
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2021-05-22 19:44:23,Positive,30,Photo,Studying
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,Peeking,2020-11-20 17:26:23,Neutral,35,Photo,Studying
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,Worried,2021-04-11 20:47:13,Negative,12,Photo,Studying
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,Like,2021-06-13 16:46:06,Positive,50,Photo,Studying
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,Heart,2021-04-11 14:29:59,Positive,60,Photo,Studying
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,Worried,2021-03-02 19:21:19,Negative,12,Photo,Studying
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2020-06-27 18:44:39,Negative,5,Photo,Studying
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2021-05-09 21:05:17,Negative,5,Photo,Studying
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,Cherish,2020-08-04 23:58:42,Positive,70,Photo,Studying
